,,Arduineigh V2,8/22/2017,
,,,,
Index,Quantity,Digi-Key Part Number,Description,Customer Reference
1,1,450-1140-ND,SWITCH TACTILE SPST-NO 0.05A 24V,SW1
2,1,ATMEGA328P-AU-ND,IC MCU 8BIT 32KB FLASH 32TQFP,IC1
3,1,MCP1703AT-3302E/CBCT-ND,IC REGULATOR LDO 3.3V 0.25A SOT23A-3,U2
4,1,MCP1703AT-5002E/CBCT-ND,IC REGULATOR LDO 5V 0.25A SOT23A-3,U1
5,1,535-13436-1-ND,CRYSTAL 16.0000MHZ 18PF SMD,Y1
6,2,732-4986-1-ND,LED GREEN CLEAR 0805 SMD,"D1, D2"
7,2,311-330ARCT-ND,RESISTOR SMD 330 OHM 5% 1/8W 0805,"R3, R4"
8,1,311-10KARCT-ND,RESISTOR SMD 10K OHM 5% 1/8W 0805,R2
9,1,311-1.0MARCT-ND,RESISTOR SMD 1M OHM 5% 1/8W 0805,R1
10,2,1276-1107-1-ND,CAPACITOR CER 18PF 50V C0G/NP0 0805,"C8, C9"
11,5,1276-6494-1-ND,CAPACITOR CER 1UF 25V Y5V 0805,"C1, C2, C3, C4, C5"
12,3,1276-2450-1-ND,CAPACITOR CER 0.1UF 50V X7R 0805,"C6, C7, C10"
13,2,S5598-ND,"CONN FEMALE 6POS .1"" SMD TIN","P1, P5"
14,2,S5600-ND,"CONN FEMALE 8POS .1"" SMD TIN","P2, P3"
15,1,S1011EC-06-ND,"CONN FEMALE 6POS .1"" SMD TIN",P4
,,,,
